id,Name,slug,description,cover
4,Chicharito,chicharito-coleccion,,https://timelinemx-jerseys.s3.us-east-2.amazonaws.com/portada-capsule/Chicharito%20Coleccio%CC%81n%20%281%29.png
2,Cristiano Ronaldo,cristiano-ronaldo-coleccion,,https://timelinemx-jerseys.s3.us-east-2.amazonaws.com/portada-capsule/Cristiano%20Ronaldo%20Coleccio%CC%81n%20%281%29.png
9,Kaka',kaka'-coleccion,,https://timelinemx-jerseys.s3.us-east-2.amazonaws.com/portada-capsule/Kaka%27%20Coleccio%CC%81n%20%281%29.png
5,Lionel Messi,lionel-messi-coleccion,,https://timelinemx-jerseys.s3.us-east-2.amazonaws.com/portada-capsule/Lionel%20Messi%20Coleccio%CC%81n%20%281%29.png
10,Neymar Jr,neymar-jr-coleccion,,https://timelinemx-jerseys.s3.us-east-2.amazonaws.com/portada-capsule/Neymar%20Jr%20Coleccio%CC%81n%20%281%29.png
1,Rafa Márquez,rafa-marquez-coleccion,,https://timelinemx-jerseys.s3.us-east-2.amazonaws.com/portada-capsule/Rafa%20Ma%CC%81rquez%20Coleccio%CC%81n%20%281%29.png
8,Ronaldinho,ronaldinho-coleccion,,https://timelinemx-jerseys.s3.us-east-2.amazonaws.com/portada-capsule/Ronaldinho%20Coleccio%CC%81n%20%281%29.png
3,Ronaldo Nazario,ronaldo-nazario-coleccion,,https://timelinemx-jerseys.s3.us-east-2.amazonaws.com/portada-capsule/Ronaldo%20Nazario%20Coleccio%CC%81n%20%281%29.png
6,Sergio Ramos,sergio-ramos-coleccion,,https://timelinemx-jerseys.s3.us-east-2.amazonaws.com/portada-capsule/Sergio%20Ramos%20Coleccio%CC%81n%20%281%29.png
7,Zinedine Zidane,zinedine-zidane-coleccion,,https://timelinemx-jerseys.s3.us-east-2.amazonaws.com/portada-capsule/Zinedine%20Zidane%20Coleccio%CC%81n%20%281%29.png
